,frequency,index,word
0,-13.41893729992401,0,<start>
1,0.0,1,a
2,-0.4045957541171328,2,.
3,-1.5154911742314403,3,on
4,-1.5730314018747142,4,of
5,-1.612014744269238,5,the
6,-1.6750032939164354,6,in
7,-1.8624639590262966,7,with
8,-1.9634502880010496,8,and
9,-2.300818941874427,9,is
10,-2.587467626924144,10,man
11,-2.669152387334262,11,to
12,-2.918813467208781,12,sitting
13,-2.977407868828652,13,an
14,-3.002147193746999,14,two
15,-3.1232049774505732,15,standing
16,-3.1343797961144393,16,at
17,-3.136431289294701,17,people
18,-3.166131799902719,18,are
19,-3.20436858150787,19,","
20,-3.2743091193720177,20,next
21,-3.3004996711022008,21,white
22,-3.343304797045488,22,woman
23,-3.472821385332259,23,street
24,-3.4779131438591566,24,table
25,-3.5612842837316814,25,that
26,-3.5665325376171984,26,holding
27,-3.625655314708908,27,it
28,-3.6685426535217074,28,person
29,-3.681740487109309,29,large
30,-3.6820948247968293,30,some
31,-3.7227199495458017,31,down
32,-3.7907422221937406,32,top
33,-3.7955605543433455,33,group
34,-3.8342785488365,34,field
35,-3.8537236059557234,35,up
36,-3.8814537866151335,36,small
37,-3.9083441983221947,37,near
38,-3.90908510374247,38,tennis
39,-3.9351405627600284,39,his
40,-3.9400212252357836,40,black
41,-3.947695271031016,41,front
42,-3.969501290419691,42,plate
43,-3.971787185869803,43,train
44,-3.9743947492768843,44,room
45,-3.9778821111372995,45,riding
46,-3.9884980068198432,46,dog
47,-4.045033544082462,47,young
48,-4.046308024904109,48,red
49,-4.0522771736928735,49,by
50,-4.061470863057534,50,cat
51,-4.083727945901958,51,water
52,-4.093305883613093,52,baseball
53,-4.187618521562636,53,walking
54,-4.1882062383000935,54,playing
55,-4.200331183530795,55,has
56,-4.207397647372345,56,bathroom
57,-4.21200272108266,57,while
58,-4.261364993486484,58,sign
59,-4.279663376381688,59,blue
60,-4.287099156102785,60,food
61,-4.288722972427112,61,kitchen
62,-4.309412233186644,62,grass
63,-4.3246814069686295,63,bus
64,-4.33654394227845,64,there
65,-4.34889401348655,65,pizza
66,-4.350851975528699,66,parked
67,-4.367241021387426,67,green
68,-4.404246914953115,68,building
69,-4.408268123076895,69,snow
70,-4.408878810118775,70,side
71,-4.415006280270872,71,looking
72,-4.415990169170805,72,bed
73,-4.422285320491282,73,other
74,-4.448251031389027,74,beach
75,-4.4516881170717335,75,ball
76,-4.456673745807249,76,couple
77,-4.4788320867958875,77,three
78,-4.481193362981568,78,boy
79,-4.490694622105708,79,men
80,-4.495612555856448,80,for
81,-4.530456452201195,81,flying
82,-4.539186501410885,82,toilet
83,-4.548274295517989,83,city
84,-4.568419678177291,84,road
85,-4.574456781463633,85,skateboard
86,-4.591175932269291,86,clock
87,-4.592055955793377,87,player
88,-4.598828655415403,88,out
89,-4.602677091189428,89,game
90,-4.606689281726579,90,wearing
91,-4.614612187361473,91,her
92,-4.634775077653534,92,laying
93,-4.635387822770745,93,over
94,-4.641844417068444,94,several
95,-4.6438513648667445,95,girl
96,-4.671426353445563,96,from
97,-4.68132426311516,97,sits
98,-4.684216295979199,98,wooden
99,-4.704533939220068,99,bear
100,-4.712612459785269,100,through
101,-4.71642704273402,101,picture
102,-4.719089273923698,102,their
103,-4.720756774726955,103,around
104,-4.721591568998658,104,bench
105,-4.7306520336653675,105,eating
106,-4.734197837295973,106,laptop
107,-4.748851362404631,107,cake
108,-4.752462405792018,108,area
109,-4.759723848487344,109,horse
110,-4.765990187530154,110,brown
111,-4.774406860046578,111,yellow
112,-4.7907395504648616,112,giraffe
